dataset,scheduler,rate,mean_nlatency,gap_recovery_pct,ratio_to_sjf
lmsys,fcfs,32.0,0.9262536512155054,,6.487708221287053
lmsys,fcfs,64.0,3.0106362078848417,,11.588036826981106
lmsys,sjf,32.0,0.14277054695159397,,1.0
lmsys,sjf,64.0,0.25980554366853587,,1.0
lmsys,opt-xxx,32.0,0.1564094918175454,,1.0955305219260363
lmsys,opt-xxx,64.0,0.41826497297233267,,1.609915504751361
lmsys,tpt-pctl10-mse-xxx,32.0,0.18772412139658973,,1.3148658837893026
lmsys,tpt-pctl10-mse-xxx,64.0,0.5923905039869116,,2.2801303452658157
lmsys,fixshort3-tpt-pctl10-mse-xxx,32.0,0.15582250333716843,70.96569839725524,1.091419110343534
lmsys,fixshort3-tpt-pctl10-mse-xxx,64.0,0.4028121138174111,57.00149218654433,1.5504369465315389
lmsys,fixshort5-tpt-pctl10-mse-xxx,32.0,0.14299644412001403,99.49748786117895,1.0015822392870475
lmsys,fixshort5-tpt-pctl10-mse-xxx,64.0,0.3850589847371658,62.339415183197765,1.4821045744444559
lmsys,fixlong3-tpt-pctl10-mse-xxx,32.0,0.14450625966086442,96.13887720676311,1.0121573584071155
lmsys,fixlong3-tpt-pctl10-mse-xxx,64.0,0.3754707775160763,65.22234988112004,1.4451992525421553
lmsys,fixlong5-tpt-pctl10-mse-xxx,32.0,0.13932467342641405,107.66540495994643,0.9758642549268356
lmsys,fixlong5-tpt-pctl10-mse-xxx,64.0,0.3674755723453743,67.62630860584662,1.4144254474192652
sharegpt,fcfs,32.0,0.7503262914983585,,3.220820959064599
sharegpt,fcfs,64.0,2.151830029030121,,4.158446912595791
sharegpt,sjf,32.0,0.23296119251418143,,1.0
sharegpt,sjf,64.0,0.5174600215557166,,1.0
sharegpt,opt-xxx,32.0,0.31580585212332873,,1.355615708844314
sharegpt,opt-xxx,64.0,0.9196347121710744,,1.7772092023771047
sharegpt,tpt-pctl10-mse-xxx,32.0,0.36534839139445957,,1.5682800532205343
sharegpt,tpt-pctl10-mse-xxx,64.0,1.019679772480077,,1.970547926416543
sharegpt,fixshort3-tpt-pctl10-mse-xxx,32.0,0.25416567880263297,83.98297836362003,1.0910215390795646
sharegpt,fixshort3-tpt-pctl10-mse-xxx,64.0,0.6704307645328155,69.54107386347339,1.2956184760268055
sharegpt,fixshort5-tpt-pctl10-mse-xxx,32.0,0.24276215594183295,92.59674386153087,1.0420712279237447
sharegpt,fixshort5-tpt-pctl10-mse-xxx,64.0,0.6338396160246292,76.82695786959587,1.2249054798842691
sharegpt,fixlong3-tpt-pctl10-mse-xxx,32.0,0.2799878979390309,64.47790585298418,1.2018649755237096
sharegpt,fixlong3-tpt-pctl10-mse-xxx,64.0,0.7954362595499307,44.65047671211954,1.5371936505519654
sharegpt,fixlong5-tpt-pctl10-mse-xxx,32.0,0.2605625098744302,79.15106778170487,1.1184803231060407
sharegpt,fixlong5-tpt-pctl10-mse-xxx,64.0,0.725867895188327,58.50265282298729,1.402751642544371
