scheduler,request_rate,num_requests,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,mean_nlatency_ms,median_nlatency_ms,p90_nlatency_ms,p99_nlatency_ms
fcfs,2.0,120,33.78,29.43,92.83,13.33,13.59,13.39,14.61,17.07
fcfs,4.0,240,34.85,32.85,72.31,16.53,16.84,16.83,18.79,20.29
fcfs,8.0,480,51.84,50.38,113.33,25.0,25.51,26.51,29.06,31.7
fcfs,16.0,960,4242.9,149.72,20729.24,70.25,150.29,83.73,268.1,1449.83
fcfs,32.0,1920,51010.4,48523.42,129975.05,88.63,953.67,260.09,2714.56,9336.92
fcfs,64.0,3840,175363.15,170785.34,387866.02,104.58,3227.01,773.71,9733.43,29894.43
opt-xxx,2.0,120,39.73,34.46,107.32,13.44,13.84,13.54,15.32,19.26
opt-xxx,4.0,240,41.47,40.19,71.65,16.86,17.28,17.19,19.54,21.35
opt-xxx,8.0,480,61.08,59.78,106.63,27.12,27.78,28.93,32.36,37.48
opt-xxx,16.0,960,766.74,134.62,21759.87,72.45,74.79,82.0,95.27,125.03
opt-xxx,32.0,1920,19127.83,186.63,140538.52,112.11,160.15,104.69,270.49,720.07
opt-xxx,64.0,3840,83166.76,512.82,370441.45,148.25,431.38,251.46,705.83,4385.62
tpt-class10-xxx,2.0,120,38.43,34.88,85.7,13.38,13.74,13.56,14.87,17.51
tpt-class10-xxx,4.0,240,39.96,38.44,76.05,16.63,17.02,16.92,19.02,21.08
tpt-class10-xxx,8.0,480,59.22,58.66,110.01,26.16,26.79,27.74,31.36,35.17
tpt-class10-xxx,16.0,960,963.03,136.15,27151.26,75.98,83.19,82.24,100.04,365.64
tpt-class10-xxx,32.0,1920,35109.59,244.49,150332.39,145.53,730.59,157.73,1806.55,9433.86
tpt-class10-xxx,64.0,3840,152844.84,136251.83,420353.43,257.18,2879.18,614.61,8270.51,34548.46
tpt-class82-xxx,2.0,120,37.84,34.03,66.64,13.16,13.5,13.32,14.5,16.83
tpt-class82-xxx,4.0,240,40.06,38.7,75.52,16.48,16.91,16.78,19.13,21.23
tpt-class82-xxx,8.0,480,58.01,56.47,132.81,25.67,26.29,27.37,30.49,34.12
tpt-class82-xxx,16.0,960,874.25,133.94,25708.54,74.3,77.43,83.56,99.92,146.67
tpt-class82-xxx,32.0,1920,21700.89,201.32,145794.99,116.18,198.3,107.74,306.81,1736.99
tpt-class82-xxx,64.0,3840,105175.98,6573.96,413521.59,184.72,695.19,370.13,1058.49,8930.2
